t,u1,u2,u3,f1,f2
0.14501450145014502,1.044543,0.8563921,0.25320286,0.2120294,0.26089495
0.14601460146014603,1.0447547,0.85665363,0.2514109,0.21060525,0.25902188
0.147014701470147,1.0449642,0.8569129,0.24961823,0.20917992,0.2571482
0.148014801480148,1.0451729,0.85717016,0.24782476,0.20775333,0.25527415
0.149014901490149,1.04538,0.8574257,0.24603075,0.20632553,0.25339964
0.15001500150015,1.0455855,0.8576795,0.24423599,0.20489648,0.2515247
0.15101510151015102,1.0457894,0.8579313,0.24243906,0.20346537,0.24964832
0.15201520152015202,1.045992,0.8581813,0.24064219,0.20203353,0.24777207
0.15301530153015303,1.0461938,0.85842973,0.23884413,0.20059994,0.24589486
0.15401540154015403,1.0463938,0.8586768,0.23704454,0.19916466,0.2440166
0.155015501550155,1.0465922,0.85892123,0.2352446,0.19772844,0.24213833
0.156015601560156,1.0467893,0.8591642,0.23344433,0.19629121,0.24026008
0.157015701570157,1.0469853,0.85940516,0.23164257,0.19485217,0.23838064
0.15801580158015802,1.0471793,0.85964465,0.2298398,0.193412,0.2365008
0.15901590159015902,1.047373,0.85988176,0.22803617,0.19197038,0.23462021
0.16001600160016002,1.0475643,0.86011714,0.22623143,0.19052763,0.23273908
0.16101610161016103,1.0477546,0.86035115,0.22442612,0.18908338,0.23085772
0.162016201620162,1.0479431,0.860583,0.22262007,0.18763813,0.22897601
0.163016301630163,1.04813,0.86081296,0.22081277,0.18619154,0.22709382
0.164016401640164,1.0483166,0.8610414,0.21900642,0.18474433,0.22521216
0.16501650165016502,1.0485002,0.8612676,0.21719721,0.18329516,0.22332895
0.16601660166016602,1.0486835,0.8614916,0.21538669,0.18184471,0.22144477
0.16701670167016702,1.0488651,0.86171454,0.21357691,0.18039337,0.21956122
0.16801680168016803,1.0490451,0.8619355,0.21176556,0.17894076,0.21767698
0.16901690169016903,1.0492235,0.8621545,0.20995292,0.1774866,0.2157919
0.17001700170017,1.0494012,0.86237186,0.20814067,0.17603184,0.21390742
0.171017101710171,1.0495771,0.86258674,0.20632637,0.17457534,0.21202171
0.172017201720172,1.0497512,0.8628008,0.2045123,0.17311803,0.21013638
0.17301730173017302,1.0499244,0.863012,0.2026968,0.17165942,0.20825016
0.17401740174017402,1.0500957,0.8632221,0.20088127,0.17020012,0.20636438
0.17501750175017503,1.0502658,0.86342984,0.19906327,0.16873871,0.20447683
0.17601760176017603,1.0504345,0.863636,0.1972459,0.16727678,0.20259021
0.177017701770177,1.0506016,0.8638404,0.1954279,0.16581403,0.2007034
0.178017801780178,1.0507678,0.8640428,0.19360903,0.16434981,0.198816
0.179017901790179,1.0509313,0.8642436,0.19178843,0.16288419,0.19692776
0.18001800180018002,1.0510949,0.86444235,0.18996838,0.16141804,0.19504015
0.18101810181018102,1.0512562,0.864639,0.18814626,0.15995021,0.19315118
0.18201820182018202,1.0514159,0.8648338,0.18632379,0.15848173,0.19126269
0.18301830183018303,1.0515746,0.86502725,0.18450129,0.157012,0.18937421
0.18401840184018403,1.0517317,0.8652184,0.18267772,0.1555414,0.18748502
0.185018501850185,1.0518874,0.8654077,0.18085346,0.15406969,0.1855959
0.186018601860186,1.0520414,0.8655953,0.17902842,0.15259698,0.18370637
0.18701870187018702,1.0521941,0.8657816,0.17720276,0.15112294,0.18181695
0.18801880188018802,1.0523455,0.86596495,0.17537618,0.14964823,0.1799268
0.18901890189018902,1.0524955,0.8661469,0.17354938,0.14817238,0.17803681
0.19001900190019003,1.0526438,0.8663265,0.17172098,0.14669552,0.17614633
0.19101910191019103,1.0527909,0.8665052,0.16989318,0.14521761,0.17425601
0.192019201920192,1.0529366,0.86668164,0.16806403,0.14373867,0.1723653
0.193019301930193,1.0530795,0.866856,0.16623437,0.14225903,0.17047468
0.19401940194019401,1.0532218,0.8670289,0.16440415,0.14077817,0.16858402
0.19501950195019502,1.0533633,0.8671994,0.16257301,0.13929626,0.16669251
0.19601960196019602,1.0535026,0.86736834,0.16074112,0.13781328,0.16480105
0.19701970197019703,1.0536411,0.86753553,0.15890801,0.13632888,0.1629088
0.19801980198019803,1.0537771,0.8677006,0.15707558,0.13484448,0.16101767
0.19901990199019903,1.0539128,0.86786354,0.15524149,0.1333585,0.15912512
0.2000200020002,1.0540458,0.86802506,0.15340766,0.13187209,0.15723367
0.201020102010201,1.0541779,0.86818427,0.15157309,0.1303847,0.15534152
0.20202020202020202,1.0543085,0.86834246,0.14973742,0.12889582,0.15344897
0.20302030203020302,1.054438,0.86849785,0.1479015,0.12740648,0.15155652
0.20402040204020402,1.0545655,0.86865157,0.14606512,0.12591617,0.14966391
